"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"W7K4QT9R","journalArticle","2023","Li, Mingjia; Zhao, Songzhu; Lopez, Gabrielle; Secor, Austin; Das, Parthib; Surya, Nitya; Grogan, Madison; Patel, Sandip; Chakravarthy, Karthik; Miah, Abdul","Mean platelet volume, thrombocytosis, and survival in non-small cell lung cancer patients treated with first-line pembrolizumab alone or with chemotherapy","Cancer Immunology, Immunotherapy","","","","","","2023","2023-09-19 01:38:13","2023-09-19 01:38:13","","1–8","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\spak01\Zotero\storage\6ZVUIGUK\s00262-023-03392-9.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQCIRHU8","journalArticle","2023","Johns, Andrew C.; Yang, Mike; Wei, Lai; Grogan, Madison; Patel, Sandipkumar H.; Li, Mingjia; Husain, Marium; Kendra, Kari L.; Otterson, Gregory A.; Burkart, Jarred T.","Association of medical comorbidities and cardiovascular disease with toxicity and survival among patients receiving checkpoint inhibitor immunotherapy","Cancer Immunology, Immunotherapy","","","","","","2023","2023-09-19 01:38:13","2023-09-19 01:38:13","","1–9","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\spak01\Zotero\storage\BC6RFUET\s00262-023-03371-0.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YSGI9323","document","2021","Husain, Marium; Xu, Menglin; Patel, Sandipkumar; Johns, Andrew; Grogan, Madison; Li, Mingjia; Lopez, Gabrielle; Miah, Abdul; Hoyd, Rebecca; Liu, YunZhou","Proton pump inhibitor use (PPI) in patients treated with immune checkpoint inhibitors (ICI) for advanced cancer: Survival and prior therapy.","","","","","","","2021","2023-09-19 01:38:13","2023-09-19 01:38:13","","","","","","","","Proton pump inhibitor use (PPI) in patients treated with immune checkpoint inhibitors (ICI) for advanced cancer","","","","","Wolters Kluwer Health","","","","","","","Google Scholar","","","","C:\Users\spak01\Zotero\storage\3GH7EMU9\JCO.2021.39.15_suppl.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B2J974F4","journalArticle","2022","Li, M.; Zhao, S.; Guo, J.; Husain, M.; Schafer, J.; Chakravarthy, K.; Lopez, G.; Spakowicz, D.; Wei, L.; Bertino, E.","78P Association between obesity, sex, and overall survival in patients with metastatic cancers treated with first-or second-line immune checkpoint inhibitors","Annals of Oncology","","","","","","2022","2023-09-19 01:38:13","2023-09-19 01:38:13","","S576","","","33","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\spak01\Zotero\storage\Q6JXRV2V\Li et al. - 2022 - 78P Association between obesity, sex, and overall .pdf; C:\Users\spak01\Zotero\storage\SLZ7I8DX\fulltext.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IE2ZMEF5","journalArticle","2023","Secor, A.; Zhao, S.; Wei, L.; Das, P.; Haddad, T.; Miah, A.; Spakowicz, D.; Lopez, G.; Husain, M.; Grogan, M.","PP01. 25 Incidence and Timing of Immune-Related Adverse Events in Patients With Non-Small Cell Lung Cancer Treated With Immune Checkpoint Inhibitor as Monotherapy or in Combination With Chemotherapy","Journal of Thoracic Oncology","","","","","","2023","2023-09-19 01:38:13","2023-09-19 01:38:13","","e21","","3","18","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\spak01\Zotero\storage\AKSQ9ZVS\fulltext.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XA5WS44Z","journalArticle","2021","Husain, M.; Xu, M.; Patel, S.; Johns, A.; Grogan, M.; Li, M.; Lopez, G.; Miah, A.; Hoyd, R.; Liu, Y.","P40. 15 proton pump inhibitors, prior therapy and survival in patients treated with immune checkpoint inhibitors for advanced NSCLC","Journal of Thoracic Oncology","","","","","","2021","2023-09-19 01:38:13","2023-09-19 01:38:13","","S1076","","10","16","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\spak01\Zotero\storage\G7HFJ2VB\S1556086421028756.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4HYFBW5G","journalArticle","2022","Li, M.; Zhao, S.; Guo, J.; Gauntner, T.; Schafer, J.; Chakravarthy, K.; Lopez, G.; Secor, A.; Das, P.; Surya, N.","EP08. 01-062 Body Mass Index, Immune Related Adverse Events, and Survival in Patients with Metastatic Non-small Cell Lung Cancer Treated with Immunotherapy","Journal of Thoracic Oncology","","","","","","2022","2023-09-19 01:38:13","2023-09-19 01:38:13","","S369","","9","17","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YEM264ZX","journalArticle","2021","Spakowicz, Daniel; Bibi, Amna; Muniak, Mitchell; Williams, Nyelia F.; Hoyd, Rebecca; Presley, Carolyn J.","The aging microbiome and response to immunotherapy: Considerations for the treatment of older adults with cancer","Journal of geriatric oncology","","","","","","2021","2023-09-19 01:38:13","2023-09-19 01:38:13","","985–989","","6","12","","","The aging microbiome and response to immunotherapy","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\spak01\Zotero\storage\Z3J3F7LH\fulltext.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5AKVLBW9","document","2022","Goodyear, Evelyn; Zhao, Songzhu; Li, Mingjia; Guo, Yihzen; Lopez, Gabrielle; Secor, Austin; Das, Parthib; Surya, Nitya; Husain, Marium; Grogan, Madison","1249 Treatment interruptions for immune related adverse events and overall survival in patients with non-small cell lung cancer (NSCLC) treated with first line immune checkpoint inhibitors (ICI)","","","","","","","2022","2023-09-19 01:38:13","2023-09-19 01:38:13","","","","","","","","","","","","","BMJ Specialist Journals","","","","","","","Google Scholar","","","","C:\Users\spak01\Zotero\storage\K9LQDEX6\a1297.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPBT237K","journalArticle","2022","Owen, D. H.; Durm, G. A.; Wei, L.; Pilcher, C.; Ferguson, S.; Benner, B.; Jukich, M.; Sukrithan, V.; Konda, B.; Savardekar, H.","EP14. 05-004 Temozolomide and Atezolizumab as Second Line Treatment for Extensive Stage Small Cell Lung Cancer: A Randomized, Multi-Cohort Phase 2 Trial","Journal of Thoracic Oncology","","","","","","2022","2023-09-19 01:38:13","2023-09-19 01:38:13","","S544–S545","","9","17","","","EP14. 05-004 Temozolomide and Atezolizumab as Second Line Treatment for Extensive Stage Small Cell Lung Cancer","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VQEQZC3X","document","2020","Li, Mingjia; Spakowicz, Daniel; Zhao, Songzhu; Patel, Sandip H.; Johns, Andrew; Grogan, Madison; Miah, Abdul; Husain, Marium; He, Kai; Bertino, Erin Marie","Inhaled corticosteroid use and risk of pneumonitis in patients treated with immune checkpoint inhibitors.","","","","","","","2020","2023-09-19 01:39:22","2023-09-19 01:39:22","","","","","","","","","","","","","American Society of Clinical Oncology","","","","","","","Google Scholar","","","","C:\Users\spak01\Zotero\storage\YLWD8WQC\JCO.2020.38.15_suppl.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6SYAMQTC","journalArticle","2022","Spakowicz, D.; Williams, N.; Bibi, A.; Hoyd, R.; Wheeler, C. E.; Suman, S.; Amann, J.; Okimoto, T.; Grogan, M.; Vibhakar, P.","EP08. 01-019 Modifiable biomarkers of response to immune checkpoint inhibitor treatment in non-small cell lung cancer","Journal of Thoracic Oncology","","","","","","2022","2023-09-19 01:39:22","2023-09-19 01:39:22","","S345–S346","","9","17","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\spak01\Zotero\storage\DQSZNLZ8\Spakowicz et al. - 2022 - EP08. 01-019 Modifiable biomarkers of response to .pdf; C:\Users\spak01\Zotero\storage\CNPIYDMP\fulltext.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TV3KK6QX","journalArticle","2021","Grogan, M.; Benedict, J.; Janse, S.; Hoyd, R.; Williams, N.; Naughton, M.; Andersen, B.; Carbone, D.; Paskett, E.; Rosko, A.","P54. 06 The FITNESS Study: Geriatric Assessment, Treatment Toxicity, and Biospecimen Collection Among Older Adults With Lung Cancer","Journal of Thoracic Oncology","","","","","","2021","2023-09-19 01:39:22","2023-09-19 01:39:22","","S1131–S1132","","10","16","","","P54. 06 The FITNESS Study","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQ992JFY","document","2023","Li, Mingjia; Zhao, Songzhu; Chian, Kenneth; Kwon, Hyunwoo; Jones, Nicholas; Khorasanchi, Adam; Gauntner, Timothy; Coss, Christopher C.; Phelps, Mitch A.; Spakowicz, Daniel","Patterns of weight change and overall survival (OS) during first-line pembrolizumab treatment in patients with non-small cell lung cancer (NSCLC).","","","","","","","2023","2023-09-19 01:39:22","2023-09-19 01:39:22","","","","","","","","","","","","","American Society of Clinical Oncology","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V5KMDYBL","document","2023","Kaufman, Jacob; Owen, Dwight Hall; Memmott, Regan Michelle; Otterson, Gregory Alan; He, Kai; Presley, Carolyn J.; Spakowicz, Daniel; Shields, Peter G.; Zhang, Xiaoli; Boyle, Theresa A.","Novel STK11 differentiation phenotype classifier STK11-DPC: Immunosuppressive tumor microenvironment (TME) and response to immune checkpoint blockade (ICB) in STK11-deficient NSCLC.","","","","","","","2023","2023-09-19 01:39:22","2023-09-19 01:39:22","","","","","","","","Novel STK11 differentiation phenotype classifier STK11-DPC","","","","","American Society of Clinical Oncology","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZ4N3C4A","journalArticle","2023","Chian, Kenneth; Li, Mingjia; Zhao, Songzhu; Farid, Saira; Gauntner, Timothy; Spakowicz, Daniel; Wei, Lai; Secor, Austin; Goodyear, Evelyn; Das, Parthib","CGE23-070: Baseline Neutrophil to Lymphocyte Ratio and Its Change Over Time Predict Overall Survival in Metastatic Non–Small Cell Lung Cancer Patients Who Received First Line Pembrolizumab Therapy","Journal of the National Comprehensive Cancer Network","","","","","","2023","2023-09-19 01:39:22","2023-09-19 01:39:22","","CGE23–070","","3.5","21","","","CGE23-070","","","","","","","","","","","","Google Scholar","","Publisher: National Comprehensive Cancer Network","","C:\Users\spak01\Zotero\storage\LD4EJVFI\article-pCGE23-070.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XXGG6QST","document","2020","Li, Mingjia; Zhao, Songzhu; Spakowicz, Daniel; Burkart, Jarred Thomas; Patel, Sandip H.; Husain, Marium; He, Kai; Bertino, Erin Marie; Shields, Peter G.; Wei, Lai","Neutrophil to lymphocyte ratio, PD-L1 expression, and survival in patients with advanced non-small cell lung cancer receiving first-line immune checkpoint inhibitor therapy.","","","","","","","2020","2023-09-19 01:39:22","2023-09-19 01:39:22","","","","","","","","","","","","","American Society of Clinical Oncology","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EY8NJG4Q","document","2019","Johns, Andrew; Grogan, Madison; Hoyd, Rebecca; Bridges, John FP; Wei, Lai; Patel, Sandipkumar; Li, Mingjia; Husain, Marium; Kendra, Kari Lynn; Otterson, Gregory Alan","Is immunotherapy toxicity associated with improved overall survival among older adults with advanced cancer?","","","","","","","2019","2023-09-19 01:39:22","2023-09-19 01:39:22","","","","","","","","","","","","","American Society of Clinical Oncology","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C23DY2DV","document","2023","Kwon, Hyunwoo; Li, Mingjia; Chian, Kenneth; Gauntner, Timothy; Jones, Nicholas; Khorasanchi, Adam; Spakowicz, Daniel; Lopez, Gabrielle; Goodyear, Evelyn; Secor, Austin","Sex differences in prognostic utility of peripheral eosinophil count in first-line immune checkpoint therapy against metastatic NSCLC.","","","","","","","2023","2023-09-19 01:39:22","2023-09-19 01:39:22","","","","","","","","","","","","","American Society of Clinical Oncology","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIA5QIRY","journalArticle","2023","Pallerla, Aaditya; Conrad, Bailey; Bibi, Amna; Williams, Nyelia; Wheeler, Caroline; Hoyd, Rebecca; Suman, Shankar; Amann, Joseph; Liu, Yangyang; Bittoni, Marisa","A causal modeling platform for testing lifestyle interventions on the microbiome and response to immunotherapy","Cancer Research","","","","","","2023","2023-09-19 01:39:22","2023-09-19 01:39:22","","4435–4435","","7_Supplement","83","","","","","","","","","","","","","","","Google Scholar","","Publisher: AACR","","C:\Users\spak01\Zotero\storage\DRVSH4ND\721167.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T3N7CJDS","journalArticle","2021","Presley, C.; Mohamed, M.; Culakova, E.; Flannery, M.; Vibhakar, P.; Spakowicz, D.; Amini, A.; VanderWalde, N.; Wong, M.; Mohile, S.","A Geriatric Assessment (GA) intervention to reduce treatment toxicity among older adults with advanced lung cancer: A subgroup analysis from a cluster randomized controlled trial (CRCT)","Journal of Geriatric Oncology","","","","","","2021","2023-09-19 01:40:16","2023-09-19 01:40:16","","S54","","8","12","","","A Geriatric Assessment (GA) intervention to reduce treatment toxicity among older adults with advanced lung cancer","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6RHN95EN","conferencePaper","2019","Johns, A.; Wei, L.; Grogan, M.; Spakowicz, D.; Patel, S.; Li, M.; Husain, M.; Kendra, K.; Otterson, G.; Burkart, J.","Risk factors for immunotherapy toxicity among older adults","JOURNAL OF THE AMERICAN GERIATRICS SOCIETY","","","","","","2019","2023-09-19 01:40:16","2023-09-19 01:40:16","","S154–S155","","","67","","","","","","","","WILEY 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B92ZACDF","journalArticle","2021","Patel, Sandip H.; Zhao, Songzhu; Li, Mingjia; Wei, Lai; Husain, Marium; Spakowicz, Daniel; Grogan, Madison; JohnS, Andrew; Burkart, Jarred; Lopez, Gabrielle","Early changes in lymphocyte/monocyte ratio on-treatment as a prognostic marker to predict overall survival in patients with advanced cancer treated with immune checkpoint inhibitors","","","","","","","2021","2023-09-19 01:40:16","2023-09-19 01:40:16","","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\spak01\Zotero\storage\KL3I2RA2\Patel et al. - 2021 - Early changes in lymphocytemonocyte ratio on-trea.pdf; C:\Users\spak01\Zotero\storage\VXV3BZYF\v1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z8PL7LQJ","document","2020","Riesenberg, Brian P.; Li, Mingjia; Spakowicz, Daniel; Hoyd, Rebecca; Beane, Joal; Yang, Yuanquan; Oezkan, Filiz; He, Kai; Patel, Sandip H.; Johns, Andrew","Platelets impact the responsiveness of immune checkpoint blockade therapy in solid tumors.","","","","","","","2020","2023-09-19 01:40:16","2023-09-19 01:40:16","","","","","","","","","","","","","American Society of Clinical Oncology","","","","","","","Google Scholar","","","","C:\Users\spak01\Zotero\storage\DZPI4IXX\JCO.2020.38.15_suppl.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EYBVRSWM","journalArticle","2022","Bibi, Amna; Pallerla, Aaditya; Williams, Nyelia; Wheeler, Caroline; Hoyd, Rebecca; Suman, Shankar; Amann, Joseph; Goruganthu, Mounika; Okimoto, Tamio; Liu, Yangyang","A Black Raspberry dietary intervention to modify the gut microbiome and improve the response to immune checkpoint inhibitors","Cancer Research","","","","","","2022","2023-09-19 01:40:16","2023-09-19 01:40:16","","3523–3523","","12_Supplement","82","","","","","","","","","","","","","","","Google Scholar","","Publisher: AACR","","C:\Users\spak01\Zotero\storage\HBSUBY8Q\702519.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JJ2PARZS","journalArticle","2022","Presley, C.; Grogan, M.; Hoyd, R.; Compston, A.; Hock, K.; Knauss, B.; Redder, E.; Arrato, N.; Lo, S.; Benedict, J.","Resiliency among Older Adults Receiving Lung Cancer Treatment (ROAR-LCT, NCT04229381): The feasibility of a novel supportive care intervention with collection of longitudinal gut microbiome specimens and activity tracking during the COVID-19 Pandemic","Journal of Geriatric Oncology","","","","","","2022","2023-09-19 01:40:16","2023-09-19 01:40:16","","S32","","8","13","","","Resiliency among Older Adults Receiving Lung Cancer Treatment (ROAR-LCT, NCT04229381)","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3HZFHHWV","document","2020","Zhao, Songzhu; Li, Mingjia; Spakowicz, Daniel; Patel, Sandip H.; Johns, Andrew; Grogan, Madison; Miah, Abdul; Husain, Marium; He, Kai; Bertino, Erin Marie","Neutrophil-lymphocyte score: A novel prognostic scoring system that utilized the dynamic change of neutrophil, lymphocyte, and albumin and its comparison to other indices.","","","","","","","2020","2023-09-19 01:40:16","2023-09-19 01:40:16","","","","","","","","Neutrophil-lymphocyte score","","","","","American Society of Clinical Oncology","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
